Nu,solvent,sN,N,ε,q,MW,eHOMO,eUMO,NBO,MK,Polar,e+HOMO,e+LUMO,%VH,L,B1,B5,EPA,SNu,SInt,SH,μ,η,μ+
CA20,H2O,0.52,13.58,80.1,1,181.13,-0.10532,0.06823,-0.239,-0.797,157.2087,-0.35101,-0.06595,35.4,5.08,2.19,7.73,-323.35,-44.87,-6.99,-135.03,-0.018545,0.17355,-0.20848
CA21,DMSO,0.67,19.36,46.7,1,65.06,-0.06783,0.22296,-0.769,-1.305,50.7327,-0.42247,0.01953,27.0,3.53,2.0,4.07,-338.0,-52.42,-9.55,-134.71,0.077565,0.29079,-0.20147
CA21,H2O,0.55,19.5,80.1,1,65.06,-0.06783,0.22296,-0.769,-1.305,50.7327,-0.42247,0.01953,27.0,3.53,2.0,4.07,-338.0,-50.93,-7.47,-135.03,0.077565,0.29079,-0.20147
CA22,DMSO,0.42,28.27,46.7,1,189.63,-0.08314,0.12603,-0.943,-0.827,122.2833,-0.33685,-0.02663,38.2,5.04,1.96,7.06,-364.54,-53.83,-11.75,-134.71,0.021445,0.20917,-0.18174
CA23,DMSO,0.69,16.06,46.7,1,217.23,-0.13781,0.10896,-1.215,-0.891,126.3853,-0.3593,-0.04439,37.1,6.95,2.15,4.69,-340.45,-53.9,-17.37,-134.71,-0.014425,0.24677,-0.201845
CA24,DMSO,0.58,19.03,46.7,1,235.22,-0.13721,0.10213,-0.565,-0.543,127.485,-0.36504,-0.05212,40.0,7.18,2.59,4.42,-342.84,-54.41,-16.21,-134.71,-0.01754,0.23934,-0.20858
CC01,DCM,1.97,-3.65,8.93,0,76.52,-0.31032,0.02736,-0.419,-0.534,47.838,-0.60978,-0.29766,26.6,4.21,1.7,4.44,-191.69,-3.96,-58.0,-122.52,-0.14148,0.33768,-0.45372
CC02,DCM,1.1,-2.45,8.93,0,56.11,-0.29898,0.06106,-0.187,-0.128,49.896,-0.60395,-0.29456,32.1,3.59,2.1,4.37,-181.02,-3.56,-61.68,-122.52,-0.11896,0.36004,-0.449255
CC03,DCM,1.09,-2.44,8.93,0,56.11,-0.29838,0.05236,-0.189,-0.175,48.37,-0.61594,-0.29386,29.5,4.5,2.1,4.33,-185.83,-3.68,-61.73,-122.52,-0.12301,0.35074,-0.4549
CC04,DCM,1.05,-1.46,8.93,0,114.26,-0.31138,0.03707,-0.368,-0.543,96.1837,-0.5202,-0.2586,33.7,4.75,1.7,6.17,-197.78,-3.22,-52.84,-122.52,-0.137155,0.34845,-0.3894
CC05,DCM,1.18,-0.49,8.93,0,118.18,-0.26974,-0.00714,-0.152,0.105,107.3483,-0.49624,-0.2733,30.5,6.18,2.06,6.41,-204.0,-6.55,-53.37,-122.52,-0.13844,0.2626,-0.38477
CC06,DCM,1.1,-1.07,8.93,0,118.18,-0.27915,0.0027,-0.155,0.126,103.833,-0.49475,-0.27108,30.1,5.67,2.11,6.73,-203.65,-8.2,-53.56,-122.52,-0.138225,0.28185,-0.382915
CC07,DCM,0.95,0.78,8.93,0,114.15,-0.28171,-0.01046,-0.367,-0.346,92.2553,-0.50034,-0.27811,23.3,5.88,1.71,6.47,-205.83,-7.58,-54.36,-122.52,-0.146085,0.27125,-0.389225
CC08,DCM,0.98,1.11,8.93,0,56.11,-0.30395,0.0544,-0.406,-0.705,49.3357,-0.64546,-0.27319,27.4,3.82,1.7,4.58,-197.56,-3.25,-59.83,-122.52,-0.124775,0.35835,-0.459325
CC09,DCM,1.0,0.25,8.93,0,132.21,-0.29744,0.0196,-0.404,-0.656,112.387,-0.47732,-0.22894,29.1,8.03,1.79,4.79,-207.2,-8.24,-53.33,-122.52,-0.13892,0.31704,-0.35313
CC10,DCM,0.95,-0.57,8.93,0,189.54,-0.31415,0.02574,-0.389,-0.646,103.708,-0.53962,-0.25699,28.0,6.34,1.7,6.02,-202.32,-7.02,-55.47,-122.52,-0.144205,0.33989,-0.398305
CC11,DCM,0.96,4.41,8.93,0,128.29,-0.28105,0.05131,-0.203,-0.028,109.9603,-0.52666,-0.20193,32.3,6.85,2.23,5.48,-215.43,-4.54,-50.9,-122.52,-0.11487,0.33236,-0.364295
CC12,DCM,1.0,0.65,8.93,0,84.16,-0.30287,0.05401,-0.405,-0.601,72.4033,-0.578,-0.25417,27.9,5.5,1.7,5.5,-203.29,-4.0,-56.26,-122.52,-0.12443,0.35688,-0.416085
CC13,DCM,1.06,1.7,8.93,0,118.18,-0.27315,-0.00604,-0.372,-0.401,106.9627,-0.49508,-0.26584,23.3,7.09,1.71,7.36,-211.85,-7.98,-52.54,-122.52,-0.139595,0.26711,-0.3804
CC14,DCM,1.09,0.68,8.93,0,146.23,-0.2725,0.00521,-0.372,-0.475,129.958,-0.46592,-0.25397,30.1,4.68,1.71,8.41,-215.87,-8.32,-50.56,-122.52,-0.133645,0.27771,-0.359945
CC15,DCM,1.07,0.79,8.93,0,112.22,-0.30133,0.05055,-0.4,-0.674,95.7663,-0.53799,-0.2538,28.7,6.13,1.7,6.06,-205.94,-4.93,-55.01,-122.52,-0.12539,0.35188,-0.395895
CC16,DCM,1.07,0.06,8.93,0,98.19,-0.30358,0.05326,-0.411,-0.641,83.541,-0.56125,-0.24826,31.7,5.02,1.7,5.74,-204.17,-4.3,-55.22,-122.52,-0.12516,0.35684,-0.404755
CC17,DCM,1.0,2.6,8.93,0,82.15,-0.2989,0.04946,-0.404,-0.528,68.7487,-0.55683,-0.24353,27.2,4.69,1.7,5.62,-214.58,-5.36,-56.11,-122.52,-0.12472,0.34836,-0.40018
CC18,DCM,1.0,-2.41,8.93,0,42.08,-0.31649,0.05113,-0.401,-0.584,37.055,-0.66681,-0.29783,23.6,4.01,1.7,4.57,-183.45,-2.7,-63.42,-122.52,-0.13268,0.36762,-0.48232
CC19,DCM,1.0,2.35,8.93,0,118.18,-0.28144,-0.0015,-0.376,-0.584,102.9593,-0.48796,-0.26537,29.3,3.97,1.7,7.21,-211.93,-7.77,-53.3,-122.52,-0.14147,0.27994,-0.376665
CC20,DCM,0.65,1.17,8.93,0,70.14,-0.28265,0.05262,-0.192,-0.257,60.885,-0.59822,-0.26584,34.8,4.0,2.08,4.5,-202.96,-3.91,-58.49,-122.52,-0.115015,0.33527,-0.43203
CC21,DCM,1.0,1.0,8.93,0,70.14,-0.30329,0.05168,-0.405,-0.669,60.9423,-0.60664,-0.26276,27.6,5.93,1.7,4.52,-200.85,-3.82,-57.59,-122.52,-0.125805,0.35497,-0.4347
CC22,DCM,1.59,-0.65,8.93,0,190.36,-0.27887,0.00754,-0.342,-0.311,164.3437,-0.47172,-0.2492,36.4,7.22,1.72,7.14,-214.91,-7.84,-47.77,-122.52,-0.135665,0.28641,-0.36046
